Symbol,Price Change,Price Change Percent,Weighted Average Price,Previous Close Price,Last Price,Last Quantity,Bid Price,Bid Quantity,Ask Price,Ask Quantity,Open Price,High Price,Low Price,Volume,Quote Volume,Open Time,Close Time,First Id,Last Id,Count
ETHBTC,0.00132000,2.448,0.05408478,0.05393000,0.05525000,15.92180000,0.05524000,20.78750000,0.05525000,25.13260000,0.05393000,0.05527000,0.05328000,39277.55740000,2124.31809786,1700564507165,1700650907165,426176241,426260510,84270
LTCBTC,-0.00002700,-1.438,0.00186724,0.00187700,0.00185100,7.03400000,0.00185000,118.75500000,0.00185100,5.50700000,0.00187800,0.00193400,0.00179200,63250.21300000,118.10301548,1700564506097,1700650906097,94244136,94263761,19626
BNBBTC,-0.00055500,-7.944,0.00662583,0.00698600,0.00643100,20.65100000,0.00642800,10.73100000,0.00642900,7.51400000,0.00698600,0.00741100,0.00612100,396489.57400000,2627.07438270,1700564506512,1700650906512,229365573,229625972,260400
NEOBTC,-0.00001380,-4.588,0.00028860,0.00030090,0.00028700,37.17000000,0.00028710,23.05000000,0.00028730,11.81000000,0.00030080,0.00030080,0.00027500,38392.21000000,11.07993832,1700564505593,1700650905593,45850531,45855206,4676
QTUMETH,-0.00007300,-4.659,0.00152103,0.00158600,0.00149400,2.50000000,0.00148700,397.90000000,0.00149100,72.30000000,0.00156700,0.00157600,0.00149000,3597.40000000,5.47173960,1700564506394,1700650906394,5410611,5410730,120
EOSETH,-0.00002540,-7.165,0.00034077,0.00035530,0.00032910,20.00000000,0.00032880,493.20000000,0.00032960,300.50000000,0.00035450,0.00035560,0.00032810,89730.90000000,30.57753898,1700564504142,1700650904142,23513319,23513885,567
SNTETH,-0.00000120,-5.806,0.00001991,0.00002063,0.00001947,306.00000000,0.00001960,29621.00000000,0.00001970,16781.00000000,0.00002067,0.00002070,0.00001927,1471561.00000000,29.29405174,1700564505806,1700650905806,3948680,3949035,356
BNTETH,-0.00000460,-1.243,0.00037157,0.00037720,0.00036560,147.40000000,0.00036520,1485.50000000,0.00036670,420.00000000,0.00037020,0.00037890,0.00035390,26521.30000000,9.85457878,1700564506945,1700650906945,2281282,2281583,302
BCCBTC,0.00000000,0.000,0.00000000,0.07908100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572382654,1689658782654,-1,-1,0
GASBTC,-0.00001510,-6.765,0.00021001,0.00022330,0.00020810,0.70000000,0.00020810,21.80000000,0.00020820,21.70000000,0.00022320,0.00022380,0.00019800,205141.20000000,43.08202016,1700564506065,1700650906065,21729304,21737421,8118
BNBETH,-0.01320000,-10.185,0.12400084,0.12950000,0.11640000,100.79100000,0.11630000,86.16900000,0.11640000,0.27700000,0.12960000,0.13600000,0.11520000,117295.15100000,14544.69767220,1700564506190,1700650906190,56847506,56920544,73039
BTCUSDT,-703.91000000,-1.884,36625.37759841,37356.87000000,36652.96000000,0.00067000,36652.95000000,1.55013000,36652.96000000,9.66007000,37356.87000000,37500.00000000,35632.01000000,55600.36988000,2036384541.46639530,1700564507168,1700650907168,3288990981,3291111168,2120188
